Exo_type_id,Exo_type,Exo_objective,Exo_focus,Exo_id,Source_format,Target_format,Source_sentence_id,Source_word_id,Source_lang,Target_lang,Full_sentence,Instruction,Sentence_w_blank,Right_answer,Dist_1,Dist_2,Dist_3,Explanation,Difficulty,Remediation
10,Flashcards,Learning vocabulary,,1,text,text,,2.0,French,Hindi,सच,,,Verité,,,,,C1,
10,Flashcards,Learning vocabulary,,2,text,text,,3.0,French,Hindi,स्वतंत्रता/ स्वाधीनता,,,Liberté,,,,,A2,
10,Flashcards,Learning vocabulary,,3,text,text,,4.0,French,Hindi,भाईचारा,,,Fraternité,,,,,C1,
10,Flashcards,Learning vocabulary,,4,text,text,,5.0,French,Hindi,दया,,,Bonté,,,,,C1,
10,Flashcards,Learning vocabulary,,5,text,text,,6.0,French,Hindi,दुष्टता,,,Méchanceté,,,,,B1,
10,Flashcards,Learning vocabulary,,6,text,text,,7.0,French,Hindi,लालित्य/सौष्ठव,,,Elégance,,,,,B2,
10,Flashcards,Learning vocabulary,,7,text,text,,8.0,French,Hindi,फ़र्क,,,Différence,,,,,C1,
10,Flashcards,Learning vocabulary,,8,text,text,,9.0,French,Hindi,आदर्श,,,Idéal,,,,,C1,
10,Flashcards,Learning vocabulary,,9,text,text,,11.0,French,Hindi,गुणवत्ता,,,Qualité,,,,,C1,
10,Flashcards,Learning vocabulary,,10,text,text,,12.0,French,Hindi,मात्रा,,,Quantité,,,,,C1,
10,Flashcards,Learning vocabulary,,11,text,text,,13.0,French,Hindi,सफाई,,,Propreté,,,,,B1,
10,Flashcards,Learning vocabulary,,12,text,text,,14.0,French,Hindi,सुंदर,,,Beau,,,,,C1,
10,Flashcards,Learning vocabulary,,13,text,text,,15.0,French,Hindi,स्वादिष्ट,,,Bon,,,,,B1,
10,Flashcards,Learning vocabulary,,14,text,text,,16.0,French,Hindi,सच,,,Vrai,,,,,C1,
10,Flashcards,Learning vocabulary,,15,text,text,,17.0,French,Hindi,ग़लत,,,Faux,,,,,C1,
10,Flashcards,Learning vocabulary,,16,text,text,,18.0,French,Hindi,घटिया,,,Mauvais,,,,,C1,
10,Flashcards,Learning vocabulary,,17,text,text,,19.0,French,Hindi,खराब,,,Mauvais,,,,,B2,
10,Flashcards,Learning vocabulary,,18,text,text,,20.0,French,Hindi,ग़लत,,,Mauvais,,,,,C1,
10,Flashcards,Learning vocabulary,,19,text,text,,21.0,French,Hindi,बदसूरत,,,Laid,,,,,C1,
10,Flashcards,Learning vocabulary,,20,text,text,,22.0,French,Hindi,तेज,,,Rapide,,,,,C1,
10,Flashcards,Learning vocabulary,,21,text,text,,23.0,French,Hindi,धीमा,,,Lent,,,,,C1,
10,Flashcards,Learning vocabulary,,22,text,text,,24.0,French,Hindi,ठंडा,,,Froid,,,,,C1,
10,Flashcards,Learning vocabulary,,23,text,text,,25.0,French,Hindi,गरम,,,Chaud,,,,,C1,
10,Flashcards,Learning vocabulary,,24,text,text,,26.0,French,Hindi,उँचाई,,,Haut,,,,,B1,
10,Flashcards,Learning vocabulary,,25,text,text,,27.0,French,Hindi,नीचे,,,Bas,,,,,A1,
10,Flashcards,Learning vocabulary,,26,text,text,,28.0,French,Hindi,गहरी,,,Profond,,,,,C1,
10,Flashcards,Learning vocabulary,,27,text,text,,29.0,French,Hindi,बाहरी/ उपरी,,,Superficiel,,,,,C1,
10,Flashcards,Learning vocabulary,,28,text,text,,30.0,French,Hindi,छोटा/ छोटी,,,Petit,,,,,C1,
10,Flashcards,Learning vocabulary,,29,text,text,,31.0,French,Hindi,उँचा,,,Grand,,,,,C1,
10,Flashcards,Learning vocabulary,,30,text,text,,32.0,French,Hindi,काले,,,Noir,,,,,C1,
10,Flashcards,Learning vocabulary,,31,text,text,,33.0,French,Hindi,सफेद,,,Blanc,,,,,B1,
10,Flashcards,Learning vocabulary,,32,text,text,,34.0,French,Hindi,लाल,,,Rouge,,,,,C1,
10,Flashcards,Learning vocabulary,,33,text,text,,35.0,French,Hindi,नीला,,,Bleu,,,,,A1,
10,Flashcards,Learning vocabulary,,34,text,text,,36.0,French,Hindi,हरा,,,Vert,,,,,B2,
10,Flashcards,Learning vocabulary,,35,text,text,,37.0,French,Hindi,पीला,,,Jaune,,,,,C1,
10,Flashcards,Learning vocabulary,,36,text,text,,38.0,French,Hindi,भूरा/ धूसर,,,Gris,,,,,C1,
10,Flashcards,Learning vocabulary,,37,text,text,,39.0,French,Hindi,बैगनी / जामनि,,,Violet,,,,,B2,
10,Flashcards,Learning vocabulary,,38,text,text,,40.0,French,Hindi,खूंखार,,,Méchant,,,,,B2,
10,Flashcards,Learning vocabulary,,39,text,text,,41.0,French,Hindi,कृपालु / दयालु,,,Gentil,,,,,C1,
10,Flashcards,Learning vocabulary,,40,text,text,,42.0,French,Hindi,जवान,,,Jeune,,,,,C1,
10,Flashcards,Learning vocabulary,,41,text,text,,43.0,French,Hindi,बूढ़ा,,,Vieux,,,,,B2,
10,Flashcards,Learning vocabulary,,42,text,text,,44.0,French,Hindi,सन्करि,,,étroit,,,,,C1,
10,Flashcards,Learning vocabulary,,43,text,text,,45.0,French,Hindi,चौड़ा,,,Large,,,,,C1,
10,Flashcards,Learning vocabulary,,44,text,text,,46.0,French,Hindi,लंबी,,,Long,,,,,B2,
10,Flashcards,Learning vocabulary,,45,text,text,,47.0,French,Hindi,कम /छोटा,,,Court,,,,,B2,
10,Flashcards,Learning vocabulary,,46,text,text,,48.0,French,Hindi,सुंदर,,,Belle (personne),,,,,C1,
10,Flashcards,Learning vocabulary,,47,text,text,,49.0,French,Hindi,सुंदर,,,Joli,,,,,C1,
10,Flashcards,Learning vocabulary,,48,text,text,,50.0,French,Hindi,काम की / उपयोग की,,,Utile,,,,,C1,
10,Flashcards,Learning vocabulary,,49,text,text,,51.0,French,Hindi,फालतू,,,Inutile,,,,,C1,
10,Flashcards,Learning vocabulary,,50,text,text,,52.0,French,Hindi,आसान,,,Facile,,,,,B2,
10,Flashcards,Learning vocabulary,,51,text,text,,53.0,French,Hindi,कठिन / मुश्किल,,,Difficile,,,,,A1,
10,Flashcards,Learning vocabulary,,52,text,text,,54.0,French,Hindi,सरल,,,Simple,,,,,C1,
10,Flashcards,Learning vocabulary,,53,text,text,,55.0,French,Hindi,जटिल,,,Complexe,,,,,C1,
10,Flashcards,Learning vocabulary,,54,text,text,,56.0,French,Hindi,अजीब,,,étrange,,,,,B2,
10,Flashcards,Learning vocabulary,,55,text,text,,57.0,French,Hindi,जाहिर,,,évident,,,,,C1,
10,Flashcards,Learning vocabulary,,56,text,text,,58.0,French,Hindi,दिलचस्प,,,Drôle,,,,,B1,
10,Flashcards,Learning vocabulary,,57,text,text,,59.0,French,Hindi,विचित्र / अजीब,,,Drôle,,,,,B2,
10,Flashcards,Learning vocabulary,,58,text,text,,60.0,French,Hindi,आनंददाई,,,Amusant,,,,,B1,
10,Flashcards,Learning vocabulary,,59,text,text,,61.0,French,Hindi,उत्कृष्ट / उत्तम,,,Excellent,,,,,C1,
10,Flashcards,Learning vocabulary,,60,text,text,,62.0,French,Hindi,सामान्य / औसत दर्ज़ेके,,,Médiocre,,,,,C1,
10,Flashcards,Learning vocabulary,,61,text,text,,63.0,French,Hindi,पुरानी / पुराना,,,Ancien,,,,,A1,
10,Flashcards,Learning vocabulary,,62,text,text,,64.0,French,Hindi,नया,,,Récent,,,,,C1,
10,Flashcards,Learning vocabulary,,63,text,text,,65.0,French,Hindi,शांत,,,Calme,,,,,C1,
10,Flashcards,Learning vocabulary,,64,text,text,,66.0,French,Hindi,पागल,,,Fou,,,,,C1,
10,Flashcards,Learning vocabulary,,65,text,text,,67.0,French,Hindi,बेज,,,Beige,,,,,B2,
10,Flashcards,Learning vocabulary,,66,text,text,,68.0,French,Hindi,जामोनी / बैंगनी,,,Mauve,,,,,B1,
10,Flashcards,Learning vocabulary,,67,text,text,,69.0,French,Hindi,भूरा,,,Marron,,,,,C1,
10,Flashcards,Learning vocabulary,,68,text,text,,70.0,French,Hindi,नारंगी,,,Orange,,,,,A1,
10,Flashcards,Learning vocabulary,,69,text,text,,71.0,French,Hindi,पारदर्शी / स्वच्छ,,,Transparent,,,,,C1,
10,Flashcards,Learning vocabulary,,70,text,text,,72.0,French,Hindi,रंगबिरंगे,,,Coloré,,,,,C1,
10,Flashcards,Learning vocabulary,,71,text,text,,73.0,French,Hindi,डल,,,Terne,,,,,C1,
10,Flashcards,Learning vocabulary,,72,text,text,,74.0,French,Hindi,अंधेरा,,,Sombre,,,,,C1,
10,Flashcards,Learning vocabulary,,73,text,text,,75.0,French,Hindi,असंभव,,,Impossible,,,,,C1,
10,Flashcards,Learning vocabulary,,74,text,text,,76.0,French,Hindi,गोरा,,,Clair,,,,,C1,
10,Flashcards,Learning vocabulary,,75,text,text,,77.0,French,Hindi,जाहिर,,,Clair,,,,,C1,
10,Flashcards,Learning vocabulary,,76,text,text,,78.0,French,Hindi,स्वादीष्ट,,,Délicieux,,,,,B1,
10,Flashcards,Learning vocabulary,,77,text,text,,79.0,French,Hindi,स्टाइलिश,,,Elégant,,,,,C1,
10,Flashcards,Learning vocabulary,,78,text,text,,80.0,French,Hindi,सुहावने,,,Agréable,,,,,C1,
10,Flashcards,Learning vocabulary,,79,text,text,,82.0,French,Hindi,चार्मिंग,,,Charmant,,,,,C1,
10,Flashcards,Learning vocabulary,,80,text,text,,83.0,French,Hindi,जानलेवा,,,Mortel,,,,,C1,
10,Flashcards,Learning vocabulary,,81,text,text,,84.0,French,Hindi,शानदार,,,Magnifique,,,,,C1,
10,Flashcards,Learning vocabulary,,82,text,text,,85.0,French,Hindi,ओरिजिनल,,,Original,,,,,C1,
10,Flashcards,Learning vocabulary,,83,text,text,,86.0,French,Hindi,कार्यक्षम,,,Efficace,,,,,C1,
10,Flashcards,Learning vocabulary,,84,text,text,,87.0,French,Hindi,अकार्यक्षम,,,Inefficace,,,,,C1,
10,Flashcards,Learning vocabulary,,85,text,text,,88.0,French,Hindi,दैवी वरदान,,,Doué,,,,,A2,
10,Flashcards,Learning vocabulary,,86,text,text,,89.0,French,Hindi,असाधारण,,,Exceptionnel,,,,,C1,
10,Flashcards,Learning vocabulary,,87,text,text,,90.0,French,Hindi,अद्बुत,,,Horrible,,,,,B2,
10,Flashcards,Learning vocabulary,,88,text,text,,91.0,French,Hindi,प्रभावशाली,,,Impressionant,,,,,C1,
10,Flashcards,Learning vocabulary,,89,text,text,,92.0,French,Hindi,असहनिय,,,Insupportable,,,,,B2,
10,Flashcards,Learning vocabulary,,90,text,text,,93.0,French,Hindi,भद्दा,,,Vulgaire,,,,,B1,
10,Flashcards,Learning vocabulary,,91,text,text,,94.0,French,Hindi,साफ,,,Propre,,,,,C1,
10,Flashcards,Learning vocabulary,,92,text,text,,95.0,French,Hindi,अपनी खुदकी,,,Propre,,,,,B2,
10,Flashcards,Learning vocabulary,,93,text,text,,96.0,French,Hindi,गंदा,,,Sale,,,,,B1,
10,Flashcards,Learning vocabulary,,94,text,text,,97.0,French,Hindi,मशहूर / प्रसिद्ध,,,Fameux,,,,,C1,
10,Flashcards,Learning vocabulary,,95,text,text,,99.0,French,Hindi,उटपटांग / अनर्थक,,,Absurde,,,,,C1,
10,Flashcards,Learning vocabulary,,96,text,text,,100.0,French,Hindi,अलग,,,Différent,,,,,C1,
10,Flashcards,Learning vocabulary,,97,text,text,,101.0,French,Hindi,निन्द्य / गोलमाल,,,Délirant,,,,,B1,
10,Flashcards,Learning vocabulary,,98,text,text,,102.0,French,Hindi,जल चुका,,,Brûlé,,,,,C1,
