English Word	Portuguese Translation	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
AIDS	AUXILIA				
Abandon	Abandono				
abandon	abandono	7:04, operation suspended.	I'll never stir from the land.	"Às 19:04, abandono a operação."""	Näo abandono a minha terra.
abbreviation	abreviação				
abdoman	abdômen				
ability	habilidade	These Jews are't at all poor.	But his touch with the telescope was admired even more. He discovered he had a talent for using astronomical instruments.	O lar de um judeu revela uma falta de habilidade para civilizar-se.	Mas a sua habilidade e cuidado com o telescópio, surpreenderam ainda mais, e descobriu que tinha talentos para lidar com os instrumentos astronómicos.
ablution	ablução				
about	cerca de				
about	cerca de				
above	acima de				
abrupt	abrupto				
abscess	abscesso				
absence	ausência	His absence.	There would be other agonies: Loss of loved ones the legions of the burned and blinded and mutilated the absence of medical care disease, plague long-lived radiation poisoning of the soil and the water.	A sua ausência.	Haveria ainda outras formas de agonias, como a perda dos seres amados, as legiões de queimados, cegos, mutilados, a ausência de cuidados médicos, as doenças, as pragas como a peste, as recaídas radioativas a longo termo envenenando o solo e a água.
absent	ausente	Will you be away long?	He is absent from the assembly having been ordered by Her Majesty the Queen... to survey the royal partridge preserves at Trianon.	Vai ficar ausente muito tempo?	O Marquês estará ausente da assembléia pois foi ordenado pela Sua Majestade, a rainha... A verificar as reservas reais de perdizes.
absolute	absoluto	Absolute power.	Since near the velocity of light we cannot simply add speeds the familiar notions of absolute space and absolute time independent of your relative motion, must give way.	Poder absoluto.	Perto da velocidade da luz, não se pode simplesmente somar velocidades, e as noções conhecidas de espaço absoluto e tempo absoluto, independentes do nosso movimento relativo, têm de ceder.
absolutely	absolutamente	Where are you?	Until one day, quite by accident a molecule arose that was able to make crude copies of itself using as building blocks the other molecules in the soup.	Genial, absolutamente genial! E agora?	Até que um dia, absolutamente por acaso, surgiu uma molécula capaz de fazer cópias grosseiras de si própria, usando como módulos, as outras moléculas do caldo.
absorption	absorção	An accident or an overdose, that I could accept.	You are ordered to accompany us to the absorption chambers.	Acidente, absorção de barbitúricos, mas eu aceitaria...	São obrigados a acompanhar-nos às câmaras de absorção.
abstention	abstenção				
abstract	abstrato	Of course, Miss Cary, I'm not an abstractionist.	Of course, Miss Cary, I'm not an abstractionist.	É obvio, não sou um artista abstrato.	É obvio, não sou um artista abstrato.
absurd	absurdo	Preposterous.	Well, I'm attempting to indicate, sir, the utter absurdity... of the line of questioning used by the prosecutor.	Que absurdo.	Estou tentando mostrar o total absurdo... da linha de interrogatório usada pelo promotor.
absurd	absurdo	Preposterous.	Well, I'm attempting to indicate, sir, the utter absurdity... of the line of questioning used by the prosecutor.	Que absurdo.	Estou tentando mostrar o total absurdo... da linha de interrogatório usada pelo promotor.
absurd	absurdo	Preposterous.	Well, I'm attempting to indicate, sir, the utter absurdity... of the line of questioning used by the prosecutor.	Que absurdo.	Estou tentando mostrar o total absurdo... da linha de interrogatório usada pelo promotor.
abuse	Abuso				
academic	acadêmico	He must be stopped.	He must be stopped.	e ser dado a um instrutor acadêmico de acordo com o modo modernista.	e ser dado a um instrutor acadêmico de acordo com o modo modernista.
academy	Academia	And she founded the Tam academy--	No, you're crazy. The only thing I got on my mind right now is trying to get you into the police academy.	E fundou a Academia de Tam...	A única coisa em que penso é fazer-te entrar para a Academia de Polícia.
acceleration	aceleração	Voyager's passage by Jupiter accelerated it in a close encounter with the planet Saturn.	What happens during these blackout periods is you get the feeling of phenomenal acceleration like you're being shot out over millions, billions of years.	Ao passar nas imediações de Júpiter, a Voyager, sofreu uma aceleração que a aproximou de Saturno.	O que acontece durante esses apagões é... adquirir um sentimento de aceleração fenomenal... como ser lançado em cima de biliões de anos.
accent	sotaque	With an Austrian accent.	Sometimes I don't know which is thicker, your skull or your accent.	O boxe francês com sotaque austríaco.	Às vezes não sei o que é pior, a tua cabeça ou o teu sotaque.
accident	acidente	Wreck.	Synthesis of the F.B.I. 's counterespionage offensive in World War II... is the Christopher case which opened... as great cases often do, by accidenta little accident at Bowling Green in New York City.	Um acidente.	A síntese da contra-espionagem do FBI na Segunda Guerra Mundial é o caso Christopher, que começou, como é costume nos grandes casos, por acidente. Um pequeno acidente em Bowling Green, Nova Iorque.
Accidental	Acidental				
accomplice	cúmplice	We're already pursing it.	You'll be laying yourself open to charges of perjury, contempt of court, obstruction of justice and accessory to murder.	O Compton foi morto pelo seu cúmplice.	Estaria a arriscar-se a ser acusada de perjúrio, contenção do tribunal, obstrucção da justiça e cúmplice de homicídio.
accord	acordo	All right	First, Chairman Khrushchev Prime Minister Macmillan and I have agreed that high-level discussions will shortly begin in Moscow looking towards early agreement on a comprehensive test-ban treaty.	De acordo.	O presidente Khrushchev O primeiro-ministro Macmillan e eu concordámos que as discussões de alto nível em breve começarão em Moscovo olho para um acordo prévio como um teste abrangente no tratado de contenção.
accordion	acordeão				
accountant	contador	Hands on the counter.	This is a Geiger counter for detecting radioactivity.	Ponha as mãos no contador.	É um contador Geiger para detectar radioactividade.
accounting	contabilidade	An account book.	And where as in most professions these would be considerable drawbacks... in accountancy they are a positive boon.	Um registro de contabilidade.	E o que, para a maioria das profissões podia ser um considerável defeito... para a contabilidade é uma verdadeira bênção.
accurate	exato	Now even, right this moment.	Unfortunately, we of the Government Weather Bureau... have not yet reduced our prognostications to an exact science.	Nesse exato momento.	Infelizmente, nós do Departamento de Meteorologia... ainda não reduzimos nossos prognósticos... a um conhecimento exato.
accuse	acusar	They've got nothing on me.	I have come, Divine One, to ask Your Majesty's permission to impeach General Yung-Lo as a traitor and a friend to the barbarians.	Não têm por que me acusar.	Vim, ó divina, para pedir autorização a Vossa Majestade para acusar o General Jung-Lu de alta traição e de ser amigo dos bárbaros.
accustomed	acostumado	I am used to it.	You become accustomed to it And the terrible thing about poverty is that it keeps you from working.	Já estou acostumado.	Você fica acostumado com isto e o que é terrível sobre a pobreza é que o impede de trabalhar.
achievable	alcançável				
acid	ácido	THAT WAS ACID.	The clouds turn out to be, not water but a concentrated solution of sulfuric acid.	Era ácido.	As nuvens são formadas, não por água, mas por uma solução concentrada de ácido sulfúrico.
acidity	acidez				
acne	acne	Yes, his face became spotty	Yes, his face became spotty	Sim, o seu rosto ficou com acne	Sim, o seu rosto ficou com acne
Acrobat	Acrobata				
across	através	(Man) Yes, we do...	And that is the history of the Princess Ananka... the story of a disastrous love which started more than 3,000 years ago... and has endured through the centuries... to bring tragedy and death into the lives... of everyone connected with the opening of her tomb.	É verdade, através de um progresso lógico.	E essa é a história da princesa Ananka... a história de um amor desastroso que começou faz mais de 3000 anos... e perdurou através dos séculos... para trazer tragédia e morte às vidas... de todos os relacionados com a abertura de sua tumba.
action	ação	All talk, no action.	to the League of Nations, Foreign Minister Maxim Litvinov... ..announced that Russia Was ready to back... ..considered action against Germany. But once again, there Was no considered action.	Pura conversa, nada de ação.	Pela Liga das Nações falou o Ministro Maxim Leadbenoff,... e também a Rússia preparou-se para considerar uma ação contra... a Alemanha, porém, mais uma vez não houve uma ação a ser considerada.
active	ativo	He bequeathed his name to his only son, who, though he remained all his life a restless traveler, He benefited from studies that his father forced him to take in ways that would never have imagined.	He bequeathed his name to his only son, who, though he remained all his life a restless traveler, He benefited from studies that his father forced him to take in ways that would never have imagined.	Ele legou o nome a seu único filho que mesmo se tornando um ativo viajante a vida toda aproveitou dos estudos que o pai obrigou-o a cursar, de um jeito que esse pai nunca teria imaginado.	Ele legou o nome a seu único filho que mesmo se tornando um ativo viajante a vida toda aproveitou dos estudos que o pai obrigou-o a cursar, de um jeito que esse pai nunca teria imaginado.
activist	ativista				
activity	atividade	Our battle's barely begun.	And so, they interrupt their healthy and regenerating walk and the rhythm of their daily routine.	Sua atividade seria mais danosa que útil.	Quer dizer, o ritmo de sua atividade cotidiana.
