English Word	Portuguese Translation	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
AIDS	AUXILIA				
Abandon	Abandono				
abandon	abandono	There was a rhythm in my sleep. When I woke up, I had lost it. Why did I leave the abandonment of myself, in which I lived?	 Why did I leave the abandonment of myself, in which I lived?	Houve um ritmo no meu sono. Quando acordei o perdi. Por que saí do abandono de mim mesmo, em que vivi?	 Por que saí do abandono de mim mesmo, em que vivi?
abbreviation	abreviação	Jim is short for James.	"The abbreviation of ""Chinese People's Political Consultative Conference"" is ""CPPCC"""	Jim é a abreviação de James.	"A abreviação para ""Conferência Consultiva Política do Povo Chinês"" é ""CCPPC"""
abdoman	abdômen	He hit him in the abdomen.	The doctor palpated my abdomen.	Ele o socou na altura do abdômen.	O doutor apalpou meu abdômen
ability	habilidade	That takes skill.	All living cells undergo cell division and palbociclib's unique capacity to halt the cell division process (also known as the 'cell cycle') therefore has potentially broad applicability, said lead author Amy S	Isso requer habilidade.	“Todas as células vivas levam a cabo divisões celulares e a habilidade única do palbociclib de travar o processo de divisão celular (também conhecido como ‘ciclo celular’) tem, portanto, uma aplicabilidade potencialmente ampla”, disse a autora principal Amy S
ablution	ablução				
about	cerca de				
about	cerca de				
above	acima de				
abrupt	abrupto	That was abrupt.	That was abrupt	Isso foi abrupto.	Isso foi abrupto
abscess	abscesso				
absence	ausência	Everyone has a right to absence.	 We are all suffering from the absence of a system that can pull us together and assure us that the results of each person's work will come back to him and enhance his life in some way	Todos têm direito a uma ausência.	 Estamos todos a sofrer com a ausência de um sistema que nos possa juntar e assegurar-nos de que os resultados do trabalho de cada pessoa reverterão a seu favor e melhorarão de alguma forma a sua vida
absent	ausente	Tom is absent.	He appeared unexpectedly after three years of absence.	Tom está ausente.	Ele apareceu de repente, depois de três anos ausente
absolute	absoluto	He has absolute power.	The hundredth World Congress of Esperanto occurred in Lille, in northern France, between the twenty-fifth of July and the first of August of 2015; it was successful and emotionally touching.	Ele tem o poder absoluto.	 Contou com muita emoção e foi um sucesso absoluto
absolutely	absolutamente	This job is dead easy.	Such abundance I accept apparent in this country, such top moral values, humans of such caliber, that I do not anticipate we would anytime beat this country, unless we breach the actual courage of this nation, which is her airy and cultural heritage, and, therefore, I adduce that we alter her old and age-old apprenticeship system, her culture, for if the Indians anticipate that all that is adopted and English is acceptable and greater than their own, they will lose their self-esteem, their built-in self-culture and they will become what we ambition them, an absolutely bedevilled nation	Esse trabalho é absolutamente simples.	Tal abundância que admito ser evidente neste país, tais valores morais de topo, humanos de tal calibre, que eu não prevejo que a qualquer altura nós derrotemos este país a menos que corrompamos a verdadeira coragem desta nação, que é a sua herança altiva e cultural, e, por isso, eu defendo que alteremos o seu velho e antigo sistema de aprendizagem, a sua cultura, pois se os indianos esperarem que tudo o que é adotado e inglês seja aceitável e superior ao seu, eles perderão a sua autoestima, a sua autocultura enraizada e tornar-se-ão naquilo que os ambicionamos, uma nação absolutamente atormentada
absorption	absorção	In fact, the absorption enhancement that we see is in the range of 20 to 50 times the single-pass absorbance.	Taiwan expects a slow absorption of U	Aliás, o aumento na absorção que verificamos é da ordem de 20 a 50 vezes a absorvência por passagem única.	Taiwan prevê uma absorção lenta da tecnologia dos submarinos militares norte-americanos devido a barreiras técnicas e à oposição da sua principal rival China, apesar de Washington ter concordado este mês em deixar os construtores americanos transmitir a informação sensível
abstention	abstenção				
abstract	abstrato				
absurd	absurdo	It's absurd.	It is as absurd to say that a man can't love one woman all the time as it is to say that a violinist needs several violins to play the same piece of music	Isso é absurdo.	É tão absurdo dizer que o homem não pode amar sempre a mesma mulher quanto dizer que um violinista precisa de vários violinos para tocar a mesma peça musical
absurd	absurdo	It's absurd.	It is as absurd to say that a man can't love one woman all the time as it is to say that a violinist needs several violins to play the same piece of music	Isso é absurdo.	É tão absurdo dizer que o homem não pode amar sempre a mesma mulher quanto dizer que um violinista precisa de vários violinos para tocar a mesma peça musical
absurd	absurdo	It's absurd.	It is as absurd to say that a man can't love one woman all the time as it is to say that a violinist needs several violins to play the same piece of music	Isso é absurdo.	É tão absurdo dizer que o homem não pode amar sempre a mesma mulher quanto dizer que um violinista precisa de vários violinos para tocar a mesma peça musical
abuse	Abuso				
academic	acadêmico	He's a wonderful scholar.	He is unable to concentrate on his academic work	Ele é um excelente acadêmico.	Ele é incapaz de se concentrar em seu trabalho acadêmico
academy	Academia	The Academy of the Hebrew Language is celebrating its 60th anniversary.	The Academy of Motion Picture Arts and Sciences may be departing from the softer, more emotionally accessible films it selected before, says Russell Williams II, a film professor at American University in Washington and an Academy Award-winning sound mixer.	A Academia da Língua Hebraica está celebrando seu 60º aniversário.	A Academia de Artes e Ciências Cinematográficas pode estar a afastar-se dos filmes mais ligeiros e emocionalmente mais acessíveis que ela selecionou no passado, diz Russell Williams II, professor de cinema na Universidade Americana em Washington e técnico de mixagem de áudio premiado pela Academia
acceleration	aceleração	Vehicle-to-vehicle, or V2V, is a short-range communication technology that enables vehicles to exchange vital information 10 times per second, about location, speed, acceleration and braking.	Hubble's top accomplishments include measuring the expansion and acceleration rate of the universe; finding that black holes are common among galaxies; characterizing the atmospheres of planets around other stars; monitoring weather changes on planets across our solar system; and looking back in time across 97% of the universe to chronicle the birth and evolution of stars and galaxies	Veículo-com-veículo, ou V2V, é uma tecnologia de comunicação de curto alcance que permite aos veículos trocar informações vitais 10 vezes por segundo, sobre localização, velocidade, aceleração e travagem.	Os principais sucessos do Hubble incluem medir a taxa de expansão e aceleração do universo; descobrir que os buracos negros são comuns entre as galáxias; caracterizar a atmosfera dos planetas em torno de outras estrelas; monitorizar as variações meteorológicas nos planetas de todo o nosso sistema solar; e olhar para trás no tempo através de 97% do universo para fazer uma crónica do nascimento e evolução das estrelas e galáxias
accent	sotaque	Tom has an accent.	Inside the Brazilian American Cultural Institute in Washington, voices babble in American accented Portuguese as students from a variety of backgrounds gather to study Brazilian Portuguese	Tom tem sotaque.	Dentro do Instituto Cultural Brasileiro-Americano em Washington, vozes balbuciam em português com sotaque americano enquanto estudantes de diferentes origens se reúnem para estudar português brasileiro
accident	acidente	Tom crashed.	The accident took place around midnight when the bus crashed through the guard rail of the Khun Pha Musung bridge in Phetchabun province and fell 50 meters into the ravine	Tom sofreu um acidente.	O acidente ocorreu por volta da meia-noite, quando o autocarro embateu contra os railes de proteção da ponte Khun Pha Musung na província de Phetchabun e caiu de uma altura de 50 metros dentro da ravina
Accidental	Acidental				
accomplice	cúmplice	You were Tom's accomplice, weren't you?	Belgian authorities have identified a key accomplice of Paris attacks suspect Salah Abdeslam, as new developments underscore the tangled and far-flung network behind the November 13 terrorist attacks and rising new threats	Você foi cúmplice do Tom, não foi?	As autoridades belgas identificaram um cúmplice chave do suspeito dos ataques de Paris, o Salah Abdeslam, à medida que os novos avanços salientam a rede complexa e alargada por detrás dos ataques terroristas de 13 de Novembro e as novas ameaças crescentes
accord	acordo	I agree.	"Alright, I think you'll agree to this one. ""I am NOT dressing as a banana."" ""The Equestrian ponies want you to dress as a banana. It is your civic duty. ...Look, I have been making compromises. My new provision only makes you dress as a banana during state functions."" ""It does not belong in a budget plan, Luna."" ""Well, how else am I supposed to get you to dress as a banana? You have refused to be open to negotiations!"" ""You know we have two weeks to agree on a proper budget."" Two weeks later, after no agreement could be reached, the violence began."	Estou de acordo.	""" ""Bem, de que outra forma sou suposto conseguir que te vistas de banana? Recusaste a estar aberto a negociações!"" "" Sabes que temos duas semanas para chegar a acordo sobre um orçamento adequado"
accordion	acordeão	Tom plays accordion quite well.	About half a century ago, the accordion was a very popular musical instrument around the world	O Tom toca acordeão muito bem.	Há cerca de meio século atrás, o acordeão era um instrumento musical muito popular no mundo inteiro
