English Word	English Lemma	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
AIDS	AIDS				
Abandon	Abandon	Abandon ship!	Father abandoned us.	Abandonar o navio!	O pai nos abandonou.
Abandoned	abandon	Abandon ship!	Father abandoned us.	Abandonar o navio!	O pai nos abandonou.
Abbreviation	abbreviation				
Abdomen	abdoman				
Ability	ability				
Ablution	ablution				
About	about	About what?	I'm about done here.	Sobre o quê?	Estou quase terminando aqui.
About	about	About what?	I'm about done here.	Sobre o quê?	Estou quase terminando aqui.
Above	above	See above.	The sun is above me.	Vejam acima.	O sol está acima de mim.
Abrupt	abrupt	That was abrupt.	That was abrupt.	Isso foi abrupto.	Isso foi abrupto.
Abscess	abscess				
Absence	absence				
Absent-minded	absent	Tom is absent.	Is Tom absent today?	Tom está ausente.	O Tom faltou hoje?
Absolute	absolute				
Absolutely	absolutely				
Absorption	absorption				
Abstention	abstention				
Abstract	abstract				
Absurd	absurd	How absurd!	What an absurd idea!	Que absurdo!	Mas que ideia absurda!
Absurd	absurd	How absurd!	What an absurd idea!	Que absurdo!	Mas que ideia absurda!
Absurd	absurd	How absurd!	What an absurd idea!	Que absurdo!	Mas que ideia absurda!
Abusing	abuse				
Academic	academic				
Academy	academy				
Acceleration	acceleration				
Accent	accent	Tom has an accent.	What accent is that?	Tom tem sotaque.	Que acento é esse?
Accident	accident	Accidents happen.	Tom had an accident.	Acidentes acontecem.	Tom sofreu um acidente.
Accidental	Accidental				
Accomplice	accomplice				
According	accord				
Accordion	accordion				
Accountant	accountant	I'm an accountant.	I'm an accountant.	Eu sou contador.	Sou contador.
Accounting	accounting				
Accurate	accurate	That's accurate.	That's accurate.	É correto.	É correto.
Accused	accuse	Mary was accused.	Mary was accused.	Maria foi acusada.	Maria foi acusada.
Accustomed	accustomed				
Achievable	achievable				
Acid	acid				
Acidity	acidity				
Acne	acne				
Acrobat	Acrobat	He is an acrobat.	He is an acrobat.	Ele é acrobata.	Ele é acrobata.
Across	across				
Action	action	Action!	Take evasive action.	Ação!	Tome uma ação evasiva.
Active	active	I was active.	My mother is active.	Eu estava ativo.	A minha mãe é ativa.
Activist	activist				
Activity	activity				
Actor	actor	I'm an actor.	I, too, am an actor.	Sou ator.	Eu também sou ator.
Actress	actress	You are actresses.	You are actresses.	Você são atrizes.	Você são atrizes.
Acupuncture	acupuncture				
Add	add	Add the onion.	Add the mayonnaise.	Adicione a cebola.	Acrescente a maionese.
Addicted	addict	I'm a TV addict.	She's a meth addict.	Sou viciado em televisão.	Ela é uma viciada em metanfetamina.
Addiction	addiction				
