you	2134713
I	2038529
the	1501908
to	1156570
s	1057301
a	1041179
it	963712
t	733338
that	719677
and	682780
of	590439
What	501965
in	498444
me	471339
is	459663
we	459607
this	406915
he	389497
on	354742
for	351650
my	344899
m	343245
your	328715
don	321085
have	314232
do	312915
re	311072
No	304549
be	293085
know	291780
was	288391
not	276673
can	267620
are	265672
all	263255
with	257465
just	242206
get	233772
here	230788
but	225291
ll	224097
there	221754
so	216452
they	209250
right	204428
like	203947
out	197131
go	193445
she	190377
up	187170
about	185206
if	180610
him	177710
got	168631
Oh	167781
at	164072
now	163333
Come	160190
one	156684
How	155867
Well	152523
Yeah	152262
her	144627
want	140718
think	137261
good	133117
see	130393
Let	123381
did	119410
Why	114687
who	113370
as	113068
his	108364
will	108306
going	108288
from	103992
when	103739
back	102467
Okay	102320
Yes	101835
gonna	101804
d	101335
time	99890
look	99311
take	96443
an	95071
man	94133
Where	93341
them	90720
would	90162
been	88573
some	88089
Hey	88079
tell	87949
or	86970
us	86478
had	85472
were	84804
say	83629
could	83109
didn	80623
something	76508
really	76508
down	76004
then	75966
little	73766
way	72661
our	71425
make	70775
too	69950
never	69490
by	68364
over	67488
more	66228
need	66040
mean	63443
very	63304
off	60155
Mr	60098
sorry	59566
give	59559
has	57830
Thank	56877
love	56864
said	56531
am	56438
people	56252
please	56149
sure	56091
any	56068
thing	55522
only	55269
because	54622
two	54384
should	54159
doing	52492
much	49636
sir	49188
Maybe	47249
help	46977
anything	46270
these	46104
God	46061
even	44672
night	44168
call	43931
talk	43605
nothing	43534
into	43074
first	42869
find	42379
wait	42343
put	42251
great	41864
thought	41232
day	40893
work	40699
life	40629
before	40501
better	40494
again	40428
still	40225
home	39491
guy	38893
won	38729
those	38404
than	37679
around	37573
other	37505
away	37276
new	36913
last	36878
uh	36579
ever	36170
stop	36071
keep	35846
told	35679
must	35661
things	35337
big	34824
after	34812
long	34433
does	34002
always	33418
their	33413
everything	33399
nice	33125
name	32735
money	32679
doesn	32435
guys	32198
feel	31989
believe	31882
Thanks	31789
old	31056
place	30736
fine	30502
kind	30125
isn	29886
Hello	29857
lot	29066
years	29003
made	28626
leave	28596
Hi	28464
girl	28413
hear	28323
father	28279
through	28026
every	28007
bad	27804
Listen	27784
remember	27666
three	27654
boy	27021
coming	26878
wrong	26678
might	26334
stay	26298
house	26214
may	26080
baby	25978
another	25970
Ok	25928
Dad	25870
gotta	25852
wanna	25796
wanted	25616
enough	25568
talking	25385
happened	24994
show	24906
course	24848
being	24781
care	24748
done	24737
getting	24719
mind	24715
left	24707
ask	24640
car	24636
understand	24605
mother	24476
which	24339
try	24314
shit	24207
hell	24012
Miss	23850
came	23650
wouldn	23628
own	23419
world	23216
guess	23153
next	23090
kill	23081
else	22907
dead	22898
trying	22849
someone	22752
real	22583
room	22415
morning	22389
huh	22350
hold	22273
ain	22248
woman	22166
yourself	22151
today	22124
looking	22066
wasn	21984
Mom	21950
friend	21384
move	21325
same	21276
job	21063
tonight	21047
went	20987
son	20949
best	20623
saw	20527
found	20196
pretty	20003
ready	19778
heard	19775
whole	19660
seen	19633
together	19553
fuck	19307
minute	19252
men	19011
head	18947
matter	18900
haven	18844
knew	18817
Excuse	18773
many	18331
idea	18311
without	18087
play	18081
family	18067
meet	17966
most	17889
run	17878
while	17821
wife	17795
once	17589
live	17574
somebody	17571
everybody	17555
used	17551
use	17536
myself	17470
took	17454
yet	17428
start	17345
called	17341
couldn	17336
kid	17299
tomorrow	17134
happy	16993
school	16989
problem	16833
watch	16831
bring	16685
fucking	16603
actually	16439
business	16371
says	16356
hope	16352
open	16341
already	16246
since	16064
looks	15886
sit	15879
Mrs	15858
cause	15812
alone	15735
hard	15700
wants	15655
stuff	15653
turn	15630
days	15592
friends	15578
until	15426
few	15393
kids	15356
honey	15325
Dr	15194
gone	15135
both	15062
door	14895
later	14889
saying	14874
such	14852
killed	14792
having	14752
face	14747
worry	14638
ago	14592
five	14558
second	14513
brother	14481
damn	14460
case	14403
thinking	14353
probably	14323
beautiful	14266
hand	14262
check	14228
year	14174
forget	14130
hit	14025
lost	13974
minutes	13924
crazy	13886
phone	13756
late	13756
Nobody	13599
end	13559
easy	13551
doctor	13461
Shut	13455
under	13358
part	13337
deal	13330
die	13318
soon	13140
four	13045
