Character,CHR/million,logCHR,logCHR-CD
我,43956.7,6.3137,3.7953
的,37618.23,6.246,3.7954
你,30845.37,6.1598,3.7953
是,25022.86,6.069,3.7954
了,21220.47,5.9974,3.7954
不,19313.7,5.9565,3.7954
们,14981.59,5.8462,3.7954
这,13531.75,5.802,3.7954
一,12895.86,5.7811,3.7952
他,12050.89,5.7516,3.7953
么,11908.43,5.7465,3.7943
在,11664.27,5.7375,3.7953
有,11392.37,5.7272,3.7954
个,9669.35,5.656,3.7953
好,8811.92,5.6157,3.7953
来,8067.74,5.5774,3.7953
人,7969.33,5.572,3.7952
那,7792.81,5.5623,3.7951
要,7594.4,5.5511,3.7954
会,6863.37,5.5072,3.7953
就,6699.1,5.4966,3.7954
什,6558,5.4874,3.7951
没,6273.85,5.4682,3.7953
到,6196.08,5.4627,3.7954
说,6016.96,5.45,3.7954
吗,5408.46,5.4037,3.7879
为,5320.78,5.3966,3.7953
想,5282.82,5.3935,3.7953
能,5158.23,5.3831,3.7954
上,5047.94,5.3737,3.7952
去,4960.3,5.3661,3.7953
道,4921.55,5.3627,3.7953
她,4920.21,5.3626,3.7883
很,4688.66,5.3417,3.7952
看,4568.08,5.3304,3.7951
可,4540.24,5.3277,3.7951
知,4516.16,5.3254,3.7951
得,4441.7,5.3182,3.7951
过,4232.99,5.2973,3.7952
吧,4209.1,5.2948,3.795
还,4107.27,5.2842,3.7951
对,4094.55,5.2828,3.7949
里,4071.08,5.2803,3.7953
以,3939.02,5.266,3.795
都,3855.31,5.2567,3.795
事,3836.72,5.2546,3.795
子,3793.53,5.2497,3.7951
生,3473.98,5.2115,3.795
时,3471.55,5.2111,3.7952
样,3445.88,5.2079,3.795
也,3414.22,5.2039,3.795
和,3329.06,5.1929,3.7941
下,3278.42,5.1863,3.7951
真,3008.64,5.149,3.7948
现,2941.37,5.1392,3.7952
做,2910.44,5.1346,3.7944
大,2885.48,5.1308,3.795
啊,2804.05,5.1184,3.7872
怎,2769.79,5.1131,3.7949
出,2762.62,5.1119,3.7951
点,2733.18,5.1073,3.795
起,2723.57,5.1058,3.795
天,2712.43,5.104,3.7948
把,2708.75,5.1034,3.7948
开,2707.07,5.1031,3.7953
让,2671.03,5.0973,3.7945
给,2644.84,5.093,3.7948
但,2609.59,5.0872,3.7892
谢,2576.11,5.0816,3.7885
着,2507.97,5.0699,3.7941
只,2506.47,5.0697,3.795
些,2415.02,5.0535,3.7944
如,2414.61,5.0535,3.7948
家,2399.32,5.0507,3.7949
后,2346.55,5.0411,3.7937
儿,2250.2,5.0228,3.7829
多,2221.32,5.0172,3.7949
意,2206.48,5.0143,3.795
别,2178.3,5.0087,3.7946
所,2144.36,5.0019,3.7946
话,2132.29,4.9995,3.7942
小,2123.52,4.9977,3.7944
自,2107.08,4.9943,3.7947
回,1979.27,4.9671,3.7947
然,1953.71,4.9615,3.7946
果,1952.79,4.9613,3.7935
发,1870.79,4.9427,3.7942
见,1830.08,4.9331,3.7938
心,1780.87,4.9213,3.7941
走,1766.93,4.9178,3.7935
定,1743.28,4.912,3.7937
听,1741.42,4.9115,3.7939
觉,1732.56,4.9093,3.791
太,1726.9,4.9079,3.7924
该,1721.59,4.9066,3.7939
当,1712.77,4.9043,3.7938
经,1712.32,4.9042,3.7934
妈,1697.85,4.9005,3.7257
用,1692.94,4.8993,3.7939
打,1692.15,4.8991,3.7926
地,1667.96,4.8928,3.7932
再,1666.04,4.8923,3.7945
因,1655.38,4.8895,3.7925
呢,1651.14,4.8884,3.7921
女,1637.3,4.8848,3.7845
告,1635.29,4.8842,3.7922
最,1622.49,4.8808,3.7938
手,1614.14,4.8786,3.7914
前,1606.2,4.8764,3.7937
找,1570.89,4.8668,3.7881
行,1560.79,4.864,3.7925
快,1556.33,4.8627,3.7885
而,1546.97,4.8601,3.7893
死,1521.23,4.8528,3.7802
先,1521.16,4.8528,3.7873
像,1519.73,4.8524,3.7891
等,1519.69,4.8524,3.7908
被,1496.95,4.8458,3.7894
从,1489.91,4.8438,3.793
明,1489.06,4.8435,3.7925
中,1488.97,4.8435,3.7901
哦,1481.18,4.8412,3.7346
情,1479.02,4.8406,3.7908
作,1455.3,4.8336,3.7884
跟,1437.78,4.8283,3.7706
面,1430.69,4.8262,3.7924
诉,1403.75,4.8179,3.7889
爱,1393.14,4.8146,3.7766
已,1389.36,4.8134,3.7913
之,1382.44,4.8113,3.7899
问,1374.33,4.8087,3.7882
错,1349.9,4.8009,3.791
孩,1336.45,4.7966,3.7691
斯,1321.1,4.7916,3.6166
成,1309.7,4.7878,3.7906
它,1308.08,4.7873,3.7745
感,1303.43,4.7857,3.7875
干,1301.66,4.7851,3.7893
法,1296.94,4.7835,3.7847
电,1286.86,4.7802,3.764
间,1281.93,4.7785,3.7906
哪,1269.8,4.7744,3.7907
西,1260.09,4.771,3.787
己,1252.62,4.7684,3.7898
候,1245.42,4.7659,3.7902
次,1240.53,4.7642,3.7912
信,1236.69,4.7629,3.7859
欢,1234.32,4.7621,3.7799
正,1221.47,4.7575,3.7914
实,1217.09,4.756,3.7889
关,1188.98,4.7458,3.789
进,1188.61,4.7457,3.7883
车,1186.71,4.745,3.7379
年,1170.43,4.739,3.7818
喜,1162.06,4.7359,3.7761
认,1159.71,4.735,3.7827
克,1145.64,4.7297,3.6266
爸,1132.02,4.7245,3.6361
谁,1128.58,4.7232,3.7891
方,1126,4.7222,3.7883
老,1124.82,4.7217,3.7745
应,1114.53,4.7177,3.788
比,1106.68,4.7146,3.7818
