Word,W/million,logW,logW-CD
的,50155.13,6.226,3.7954
我,50147.83,6.2259,3.7953
你,39629.27,6.1237,3.7953
是,28253.52,5.9767,3.7954
了,28210.53,5.9761,3.7954
不,20543.44,5.8383,3.7953
在,12811.05,5.6332,3.7953
他,11853.78,5.5995,3.795
我们,11080.02,5.5702,3.7953
好,9977.13,5.5247,3.7953
有,8618.15,5.4611,3.7953
这,8554.9,5.4579,3.7953
就,8246.34,5.4419,3.7954
会,7927.17,5.4248,3.7953
吗,7428.1,5.3965,3.7858
要,7114.18,5.3778,3.7953
什么,7050.42,5.3739,3.7941
说,6765.38,5.3559,3.7953
她,6600.39,5.3452,3.7877
想,6325.1,5.3267,3.7952
一,6069.96,5.3088,3.7952
很,5979.28,5.3023,3.7951
知道,5864.84,5.2939,3.795
人,5810.26,5.2898,3.7951
吧,5785.52,5.288,3.795
那,5666.37,5.279,3.795
来,5519.32,5.2675,3.7951
都,5294.71,5.2495,3.795
个,5184,5.2403,3.7951
能,4967.91,5.2218,3.7951
去,4860.53,5.2123,3.7951
没,4754.83,5.2028,3.7951
和,4483.86,5.1773,3.7934
他们,4187.02,5.1476,3.7923
到,4159.42,5.1447,3.795
对,3958.83,5.1232,3.7944
也,3928.9,5.1199,3.7949
啊,3903.92,5.1171,3.7872
还,3884.93,5.115,3.7948
把,3712.28,5.0953,3.7948
让,3690.67,5.0928,3.7945
做,3647.59,5.0877,3.7942
给,3494.19,5.069,3.7948
一个,3479.53,5.0672,3.7943
上,3409.33,5.0583,3.795
你们,3366.85,5.0529,3.7904
过,3350.21,5.0507,3.7949
没有,3226.48,5.0344,3.7937
得,3135.62,5.022,3.7934
看,3056.83,5.0109,3.7948
真,3053.82,5.0105,3.7941
着,2983.65,5.0004,3.7939
事,2912.82,4.99,3.7923
这个,2744.19,4.9641,3.7944
怎么,2657.98,4.9502,3.7931
现在,2626.8,4.9451,3.7943
可以,2360.84,4.8987,3.7928
点,2315.14,4.8902,3.792
呢,2287.93,4.8851,3.7921
如果,2277.94,4.8832,3.7894
只,2167.08,4.8615,3.794
别,2082.63,4.8443,3.7884
哦,2068.17,4.8412,3.7346
但,2034.22,4.834,3.7643
被,1958.33,4.8175,3.7889
走,1945.3,4.8146,3.7894
太,1942.11,4.8139,3.791
这样,1916.59,4.8082,3.792
里,1886.22,4.8012,3.7909
跟,1877.36,4.7992,3.7635
告诉,1824.99,4.7869,3.7882
因为,1783.29,4.7769,3.7887
自己,1728.29,4.7633,3.7892
再,1684.82,4.7522,3.7922
听,1636.18,4.7395,3.7885
这里,1606.72,4.7316,3.7693
快,1595.1,4.7284,3.7726
谁,1573.4,4.7225,3.789
但是,1571.49,4.722,3.7493
多,1568.12,4.721,3.7916
用,1563.08,4.7196,3.7905
时候,1555.33,4.7175,3.7875
下,1549.34,4.7158,3.7904
已经,1543.29,4.7141,3.787
谢谢,1533.9,4.7114,3.7786
为什么,1522.16,4.7081,3.7833
觉得,1521.68,4.708,3.775
天,1510.14,4.7047,3.7865
像,1497.29,4.701,3.7823
这么,1463.1,4.6909,3.7856
它,1461.37,4.6904,3.7617
从,1410.37,4.675,3.7874
先生,1396.99,4.6708,3.7169
找,1390.52,4.6688,3.7786
最,1385.06,4.6671,3.7874
喜欢,1375.58,4.6641,3.7676
可,1374.9,4.6639,3.7725
为,1358.26,4.6586,3.7847
大,1343.24,4.6538,3.786
可能,1324.25,4.6476,3.7785
需要,1322.4,4.647,3.7768
是的,1317.87,4.6455,3.7457
死,1313.28,4.644,3.7595
次,1307.83,4.6422,3.7857
出,1275.36,4.6313,3.7868
那么,1245.85,4.6211,3.7721
干,1241.59,4.6196,3.7744
那个,1234.61,4.6172,3.7797
嘿,1227.4,4.6146,3.6828
们,1191.12,4.6016,3.7474
话,1189.39,4.601,3.7816
而,1173.92,4.5953,3.7708
么,1166.14,4.5924,3.5132
东西,1136.54,4.5812,3.7751
应该,1127.12,4.5776,3.7752
孩子,1110.19,4.571,3.7173
起来,1109.06,4.5706,3.7762
所以,1103.36,4.5684,3.7716
这些,1095.05,4.5651,3.7748
才,1094.48,4.5649,3.7834
两,1090.43,4.5632,3.7747
错,1078.09,4.5583,3.7745
还有,1071.11,4.5555,3.7838
又,1060.05,4.551,3.7782
小,1042.34,4.5437,3.7663
中,1039.21,4.5424,3.7662
叫,1032.83,4.5397,3.7674
