English Word	English Sentence
Because of	I ran after him shouting his name but he did not hear me because of the noise.
To be out of	It is one in the afternoon and we are already out of water.
On an empty stomach	Jean and Isabelle, you should be on an empty stomach when you go to the medical assay office.
To ?	Needless to say, students must show respect to their professors.
(ici) Inside out/ (haut en bas) upside down/ (devant derrière) back to front	There you go! You should take your sweater off, you have put it inside out.
Off the cuff	I have decided to go see him off the cuff.
On the contrary	Your little brother has good marks at school. On the contrary, your little sister has difficulties.
As + N + P. Progr	As exams are approaching, students are more and more stressed out.
Unless	To be at his place at 8, you should leave at 7 unless you take a cab.
Again	They are working together again.
At the end of	No important decision has been taken at the end of the meeting.
Except	Everyone came to the meeting, except the accountant.
Starting	Starting tomorrow, there will not be languages classes in the evening.
Barely	Kitamura, whose parents are Japanese, barely knows any French.
About	Based on what my brother told me, the movie theater is at about two hundred meters.
A posteriori	A posteriori, this change of policy was not a good idea.
A priori	The enrollments for this class are ending tomorrow; a priori, I should be in.
Close by	I have decided to live close by where I work.
At any price	I have to return this report on time at any price.
Abandoned	I heard that you sheltered an abandoned dog.
Slaughterhouse	We can see the slaughterhouse from my window.
To slaughter	He nearly slaughtered the herd because one cow had gotten sick.
Abscess	The abscess is too infected for you to treat it yourself.
To abdicate	The king had to abdicate because of the scandal.
Absurd	What I am absolutely certain of is that the results of this experiment are absurd.
To damage	We should be very careful about not damaging this piece of furniture during the house moving.
Barking	The barking of the dog woke up the entire neighborhood at two in the morning.
To abolish	Slavery has been abolished during the revolution and then re-established during the empire.
Subscriber	This newspaper has more than one hundred thousands subscribers.
To subscribe	I have subscribed to a weekly newspaper called "Weekly Planet" and to a monthly magazine.
Abbreviation	You should avoid writing too many abbreviations while writing a report.
Shelter	The cat is looking for shelter to protect himself from the rain.
Abrupt	The slope is very abrupt, be careful on your way down.
Abstention	The abstention rate was high in spite of the stakes of the vote.
To abstain	My two brothers abstained at the last elections. The two of them are loosing interest for politics.
Absurd	I heard him having a completely absurd reasoning.
Abusing	Abusing alcohol can harm your health.
To take advantage of	He managed to take advantage of his trust again.
Academy	This martial arts academy opened in 1988.
Academic	Among the academic disciplines, he likes physics the best.
Mahogany	These furnititures are pine, those ones are mahogany.
Lull	What I am sure of is that the lull will not last long, it will rain again soon.
To get?	It is easy to get this piece of information.
Acceleration	The passengers are glued to their seats because of the acceleration.
To accept	He is glad you accepted his offer.
To have access to	Last Thursday, I have been told that I could have access to the library on that very evening.
Reachable	He has high responsabilities but he remains very reachable.
accessory	I bought accessories for the car.
Accidental	I am very sorry I broke your computer, it was accidental.
Guide	There will be six or seven guides.
To go/come with	Even if I get out work earlier than usual, I will not be able to come to the movies with you.
To accomplish	He wants to accomplish great things.
To grant	They have finally granted him his visa in April.
Delivery	She is exhausted because of the delivery.
To give birth	They gave birth on the same day.
To rush up	He rushed up when he heard the news.
Accustomed	He got accustomed to the noise; he sleeps well now.
To hung up	I hung up you coat at the coat hanger.
Hung up	I took the coat hung up on the hook by mistake because I have got the same one.
Increase	The increase of social inequalities is worrying the government.
To crouch	He crouched and picked up as many fruits as he could.
(ici) Reception	You have to let the keys reception when you leave the hotel.
To accomodate	She never accomodated even a single traveller at her place .
Accused	Not a single one accused has been sentenced at the end of the trial.
To accuse	He has been accused without any evidence.
Determination	Her determination was finally fruitful.
To be done	How dare you leaving now when the work is not done yet!
To finish off	They finished off the horse.
Acid	There are a lot of pines in this wood, this is why the soil is acid.
Acidity	The technician is measuring the acidity of the water.
Buyer	He is looking for a buyer to buy the company out.
To buy	Even if you work very hard, you will never have enough money to buy an appartment in Paris.
To acquit	The accused was nearly acquited.
Acrobat	During yesterday's night show, an acrobat almost died because of a fall.
Acrobatic feat	This acrobatic feat is not as hard as that one.
Active	Employees are often less active in the afternoon.
Activity	The economic activity of the country is decreasing increasingly.
News	What is in the news today is incredible. Read!
At the moment	At the moment, it gets more and more difficult to find a job.
Acupuncture	She is studying a lot of aspects of Chinese medicine, up to acupuncture.
Member	This political party has around one hundred thousand members.
To adhere	She finally decided not to adhere to this association.
Membership	There are no membership fees this year to attract more people.
Administration	I have just received a letter from the admistration dating back to June, 5th 1999.
Administrative	He spends his time making administrative procedures.
Admiring	Even the teachers were admiring.
To be accepted	Even the pupils with the worst grades have been accepted in this university.
Adolescence	Adolescence is a tough time.
Teenager	When he was a teenager, he used o play in a band.
To adopt	It is hard to adopt a child.
Foster	My foster father is used to watch the news every evening before going to bed.
Adorable	Her older sister is adorable but his younger sister is insufferable.
To adore	She adores chocolate.
Opponent	He was not strong enough to beat his opponent.
To air	Your bedroom needs to be aired.
Air	Air transports are down because of volcano blast.
Aerosol	In 1991, the volcano Pinatubo emitted a lot of aerosols in the atmosphere.
Aerospatial	He works in the aerospatial industry.
Weakened	He has been weakened by the illness.
Starving	The kitten looks like he is straving, there should be some ham left in the fridge for him.
Affectionately	She talks affectionately to her child.
Notice board	They have advised us to watch the notice board regularly, the departure track of the train will be posted soon.
To be thrown into a panic	She is clearly thrown into a panic by the amount of work she still has to do.
Confrontation	This weeks confrontations' have been as violent as last week's.
To face	He is going to face his opponent even though he is ill.
In order to	In order to earn some money, he is working during the holidays.
In order	In order for him to work in the best conditions, we offered him a new computer.
Annoying	This child particularly annoying.
To be old	His father is quite old; as a consequence he cannot take a too long journey.
To worsen	The humanitarian situation is a bit better now than it wsa two months ago but it could worsen again in case of a recrudences of violences.
Nimble	He can pull off difficult acrobatic feats, he is very nimble.
(Expression)	Delete as appropriate.
Agitation	He did not manage to hide his agitation.
Agitated	These children are calm, those ones are more agitated.
To be dying	A dog is dying in the street, a car knocked him over.
To staple	You should staple these sheets otherwise you might lose one of them.
Citrus fruit	Limes and grapefruits are citrus fruits.
As well as	Having dressed up quickly, he took an umbrella as well as a coat and went out in the street.
To tick	I do not know which box to tick.
Alarming	The situation in this country is more and more alarming.
Alarm	I am a bit tired because the alarm rang right in the middle of the night.
Alcoholism	Alcoholism is a public health issue as well as nicotine addiction.
To breastfeed	She is reading a book while breastfeeding her baby.
Benefits	Even now, he gets benefits to pay his rent.
Extension	The extension of working hours causes the discontent of people.
Mountaineer	The two mountaineers should arrive at the summit tomorrow.
Alternately	She takes her day off alternately on Saturdays or on Sundays.
To confuse	Science and technology should not be confused.
Amateur	He is quite good at chess but he still is an amateur.
Atmosphere	The atmosphere of this company has clearly improved over the last few months.
Ambidextrous	He can write with both hands, he is ambidextrous.
Improvement	There has not been the slightest improvement since last time.
To fit out	We do not know how we are going to fit the living room out yet.
(ici) Bitter/ (nom) Bitterness	Even after many years, he was still feeling bitter at him.
Amicably	He regrets not to have concluded this deal amicably.
Ammonia water	These bottles contain alcohol while those ones contain ammonia water.
Amnesia	She is suffering from a kind of amnesia since her accident last year.
To grant amnesty	Many political prisoners were granted amnesty.
To dampen	My fall has been dampened by some bushes.
How big?	He did not realize how big the problem was yet.
Illiterate	As he is illiterate, he struggles to find a job.
illiteracy	The fall of schooling ensued in a considerable increase of illiteracy.
Analysis	The analysis of the situation he makes in the first chapter of the book is fully relevant.
To analyze (US)/To analyse (GB)	The situation has to be analyzed more calmly.
Anarchy	It is anarchy here at the moment.
Anarchistic	The arrest of a number of anarchist demonstrators led to an unprecedented wave of protest.
Anatomy	We offered an anatomy book to every student.
Anguish	Anguish often prevents you from sleeping.
Hustle and bustle	Even here, there is hustle and bustle late at night.
Outbuilding	Language classes will take place in outbuilding of the highschool.
To give notice	It is a bad day to give her notice of that bad news.
Annual	The annual meeting of the association will take place next month.
(Expression)	He regrets not to have stayed anonymous.
Anonymous	He went as far as to write her anonymous poison-pen letters.
Anti-Semitic	This candidate is openly anti-Semitic.
August	He will have finished this task before going on holidays in August.
Appetite	He loses his appetite during exam time.
To dread	He dreads starting school again.
Apprehension	She is always experiencing apprehension before a competition.
Learning	Learning a language requires patience.
To tame	It is quite hard to believe but he managed to tame this oridinary cat.
Approval	You need the approval of the administration before starting the administrative process.
To approve	I do not approve what he has done.
Archeology	He started to read books on archeology again.
Aristocracy	The aristocracy lost a lot of power during the revolution.
Flavor	Which flavor do you like better? Strawberry or peach yoghurt?
To rip off	I ripped this page off.
Great grand children	My great grand children should arrive soon.
Asylum	It is easy to escape this asylum.
To suffocate	You should make holes in the card box otherwise your rat will suffocate.
General assembly	At each general assembly of the association, there are conflicts.
(ville) To besiege/(pers) To surround	The neighborhood is besieged by the army since last Saturday.
Assistant	He hired an assistant to help him prepare his experiment.
Associative	This piece of legislation sparked off strong reactions in the associative world.
Thirsty	The dog did not drink anything since yesterday, he is thirsty.
To knock someone out	One guardian has been killed during the burglary of the storehouse and two others have been knocked out.
To match	His trousers do not match his shirt.
Stretching exercise	Flexible as he is, those stretching exercises should not be too difficult for him.
Defeaning	We went to a gig last night, the music was defeaning.
Insurance	We have had each of the participants sign an insurance contract.
Clever	This boy is very clever, he should manage to solve this problem quickly.
Splint	She has a splint on her left leg.
Atelier	He works in the atelier every other day.
Athlete	More than ten thousand athletes played a part in the Olympic Games.
Athletics	Depending on the weather tomorrow, the athletics competition will be maintained or postponed.
Atoll	In the end, he settled in an atoll of the Pacific Ocean.
Atomic	During the Cold War, a lot of people lived in the fear of an atomic war.
Atrocity	Every other day, a new atrocity happens in this country.
To soothe	They did not manage to soothe the patient's pain.
During	During last month, sells broke down.
At best	My plane to Rio de Janeiro stops at Frankfurt, it will arrive in Rio at 5 a.m. at best.
When	The accident occured when nobody expected it.
No	Do not be afraid, there is no danger.
Beyond	I will work up to 60 years old but not beyond that.
After	Please, do not park here after 10 pm.
Viewing audience	The viewing audience of this channel dropped off a lot these last few weeks.
To audition	More than two thousand candidates have been auditionned.
Austerity	Austerity led the country into recession; the economic situation is even worse than before.
Autograph	He asked me if I wanted an autograph.
Automatically	The samples will be analyzed automatically.
Automated	The entire fabrication process is automated.
Driver	Too many drivers do not follow the traffic law.
Independent	He is relatively independent since he left the family home.
Autonomy	This area asks for more autonomy.
(ici) Licence	To start the construction work, a licence from the town hall is compulsory.
Morgue	The corpse has been brought to the morgue.
(ici) To allow	Since he was eight, they allow him to use the computer by himself.
Authoritarian	He is beginning to be very authoritarian with his children.
Authority	He does not have any authority over his students.
To hitchhike	We hitchhiked in Argentina.
Hitchhiker	There are two hitchhikers on the side of the road.
Raise	He asked for a raise again, didn't he?I suppose so.
To rise	Prices are slowly but constantly rising.
Before	I did not think about that before.
Dawn	Dawn appears little by little.
As soon as	He left as soon as the gig was over.
As much as	He does not work as much as his sister.
Autism	Autism can be detected sooner and sooner.
(ici) Genuine	This is a genuine painting by Picasso.
Sticker	She bought them stickers.
Autopsy	The autopsy has been done last week.
Auto radio	Somebody managed to steal the auto radio.
Around	It has been half an hour that I am driving around the block without finding anywhere to park.
Any (ici)	I no longer have any choice but to accept his offer.
In those days	In those days, exams were more difficult, weren't they? I suppose so.
Otherwise	Come along with us, otherwise we will get bored.
Avalanche	There are risks of avalanches, please do not ski today.
Breakthrough	Scientific breakthroughs have allowed a certain number of illnesses to be eradicated.
To have a head start	He had a head start on this exam because he had already done very similar exercises.
Rotting	This ship stayed in the harbor for six months because of a rotting.
Shower	The rain is not going to last long, it is only a shower.
Blinding	This light is blinding.
Aviator	The aviators have had their planes fixed.
Stingy	One of my brothers is particularly stingy. Which one is it?
April	If she had had more time, she could have come last April.
Axis	Both of your feet should be on the same axis.
Aztec	Rather than going to the movies, you should go to that exhibition on the Aztec civilization.
Badge	It is impossible to get in without one's badge.
Fight	Every time there is a fight in the playground, he is in it.
To fight	Neither him nor his brother like to fight.
(US) Labor camp/(GB) Labour camp	A prisoner tried t escape from the labor camp. Which one is it?
Baguette	He bought two baguettes.
Bathtub	The bathtub is full.
Bather	We were lucky: a bather could have been attacked by a shark.
To yawn	He yawns all day long.
To muzzle	The prisoner has been muzzled.
Drop	In spite of the drop of taxes, prices have remained stable.
To drop	The price of gas is dropping quickly at the moment.
Ball	The ball should begin in a few minutes.
Scar	He has a scar on his face, hasn't he?
Swing	How did you fall off the swing? Tell me.
Street sweeper	He is a street sweeper; hence his getting up early to go to work.
Whaler	The whaler has been stopped by the coastguards.
(ici) Beacon	Beacons allow ship to sail safely.
Ballet	Who else is coming to the ballet with us?
bamboo	Which plant grows faster between the bamboo and that one? The bamboo grows faster.
Commonplace	After all, this is a commonplace situation.
Banana tree	Banana trees need to be treated with pesticide before the rainy season.
(Expression)	He forgot to give me his account details.
Wobby	This stool is wobby.
(ici) Blindfold	He had a blindfold put on his eyes.
To banish	He has been banished from his country.
Baobab	The baobab is the biggest tree of the world.
Baron	The baron who lived in this castle has been decapitated during the revolution.
Barrier	Barriers have been set across the street.
Basil	I did not put enough basil in the dish, did I? I am afraid so.
Basilica	We can go visit the basilica or go to see an exhibition.
Batalion	An infantry batalion has been sent to restore order.
Drums	When he was in high school, he played the drums and gave guitare lessons.
Battery	My phone is almost out of battery.
"Son-in-law" si on parle du du gendre du cousin en question MAIS "stepson" si on parle du fils du compagnon ou de la compagne du cousin en question.	Who are you? I am the son-in-law of your cousin.
To stammer	She stammers from time to time.
Donut	You bought too many donuts.
Cradle	The baby is sleeping in its cradle.
To cradle	A wet-nurse was rocking the sleeping baby.
Lullaby	I sing this lullaby to them every night.
Bank	You can see animals on the other bank of the river.
Herdsman	A herdsman kept the herd.
Shepherdess	Every other day, the shepherdess brings the flock back to the stable.
Butter	There is little butter left, and there are not so many apples left either.
To be biaised	The results of this experiment are biased.
Baby's bottle	In the morning, he took his breakfast, prepared the baby's bottle and chatted with his wife.
Bibliography	I did not have the time to either do a bibliography or to write the report.
Biceps	He has a tattoo on his biceps, hasn't he? I think so.
Can	I have filled the can up with petrol.
Soon	Soon, you will receive a parcel for me. You will give it to me as soon as you will get it.
Bilingual	She became almost bilingual in six months.
Bison	Bisons have disappeared certainly because of intensive hunting.
Bistro	There was quite a lot of people in the bistro.
Bitumen	A dog is lying on the bitumen.
To go camping	If I were on holidays, I would go camping.
Weird	What a weird show!
Joke	I did not get your joke.
Badger	We saw a badger on the side of the road yesterday while we were coming back from the woods.
Greenish	The bottle contained a greenish liquid.
To go pale	She went pale when she learned the news.
Hurtful (mots)	He told me that she had been very hurtful with him the day before.
Wound	The wound probably got infected because of the humidity.
Armoured vehicle	Armoured vehicles have just positioned themselves on the square.
Lab coat	If you did not forget your lab coat in the lab, where could you have forgotten it again?
Jacket	He would like to buy a leather jacket.
Boa	It is forbidden to bring the boa out of its aquarium.
Bowl	The goldfish swims around his bowl.
To limp	He got home limping.
To bomb	The town has been bombed during the night.
Bomber	What is it? I think it is a bomber.
Bombing	it is the third day of bombings.
Narrow-minded	I find your uncle very narrow-minded.
Bite	Give her one more bite.
Bow	You have to make the lace go in the bow again to make a double knot.
Curly	She has curly hair, hasn't she?
Shield	This antique shield has been exhibited in this museum for six months.
Kettle	Did you put water in the kettle to make it boil?
(chose)ball	I have only made meatballs, will it be enough or would you like something else?
Jolted	He is too much jolted by the news for you to call him now.
Bouquet	What did you do with the bouquet? I gave it to her already.
Executioner	The executioner put the condemned to death.
Fat roll	He has trouble getting rid off his fat rolls.
Embers	There are still some embers which are not extinct.
Breast stroke	His father swims the breast stroke and he does athletics.
Breach	There is a breach within the nuclear reactor.
