English Word	English Lemma	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
AIDS	AIDS	Scientists are working hard to put an end to AIDS.	"U.S. Secretary of State Hillary Clinton has marked World AIDS Day, which takes place December 1, by unveiling what she called a ""blueprint"" that could help create an ""AIDS-free generation."""	Cientistas estão trabalhando duro para acabar com a AIDS.	A secretária de Estado norte-americana Hillary Clinton assinalou o Dia Mundial da SIDA, que ocorre a 1 de dezembro, desvendando aquilo a que ela chamou de plano que poderá ajudar a criar uma “geração livre de SIDA”.
Abandon	Abandon	Abandon ship!	As a result, some countries that have tight pandemic restrictions in place are planning to abandon them for a few days at least, including “whack-a-mole” strategies aimed at suppressing local outbreaks of contagion.	Abandonar o navio!	Como resultado, alguns países que têm restrições pandémicas rigorosas em vigor planeiam abandoná-las pelo menos durante alguns dias, incluindo estratégias de “caça à toupeira” destinadas a suprimir surtos locais de contágio.
Abandoned	abandon	Abandon ship!	As a result, some countries that have tight pandemic restrictions in place are planning to abandon them for a few days at least, including “whack-a-mole” strategies aimed at suppressing local outbreaks of contagion.	Abandonar o navio!	Como resultado, alguns países que têm restrições pandémicas rigorosas em vigor planeiam abandoná-las pelo menos durante alguns dias, incluindo estratégias de “caça à toupeira” destinadas a suprimir surtos locais de contágio.
Abbreviation	abbreviation	Apr. is an abbreviation for April.	"The abbreviation of ""Chinese People's Political Consultative Conference"" is ""CPPCC""."	Abr. é a abreviação para abril.	"A abreviação para ""Conferência Consultiva Política do Povo Chinês"" é ""CCPPC""."
Abdomen	abdoman	He hit him in the abdomen.	The body of an insect is divided into head, thorax and abdomen.	Ele o socou na altura do abdômen.	Os insetos apresentam o corpo divido em cabeça, tórax e abdome.
Ability	ability	I have many abilities.	"Stories and books are precious not only for creating language and vocabulary, but also for creating children’s imagery, for creating a vision of the world, of others and of oneself. But it's easy to say: ""Tell them a story."" To tell a story, you have to live through it and communicate it, and that’s not within everyone’s ability."	Eu tenho muitas habilidades.	"As histórias e os livros são preciosos, não apenas para criar linguagem e vocabulário, mas também para formar o imaginário das crianças, para gerar uma visão de mundo, tanto dos outros como de si mesmas. Mas dizer ""Conta-lhes uma história"" é fácil. Para contar uma história, é preciso vivê-la e transmiti-la, e isso não está ao alcance de todos."
Ablution	ablution	Siddhartha bathed in the river, performing the sacred ablutions, the sacred offerings.	Siddhartha bathed in the river, performing the sacred ablutions, the sacred offerings.	Sidarta banhava-se no rio, realizando as abluções sagradas, as oferendas sagradas.	Sidarta banhava-se no rio, realizando as abluções sagradas, as oferendas sagradas.
About	about	About what?	And tonight, I think about all that she's seen throughout her century in America — the heartache and the hope; the struggle and the progress; the times we were told that we can't, and the people who pressed on with that American creed: Yes we can. At a time when women's voices were silenced and their hopes dismissed, she lived to see them stand up and speak out and reach out for the ballot. Yes we can. When there was despair in the dust bowl and depression across the land, she saw a nation conquer fear itself with a New Deal, new jobs, a new sense of common purpose. Yes we can. When the bombs fell on our harbor and tyranny threatened the world, she was there to witness a generation rise to greatness and a democracy was saved. Yes we can. She was there for the buses in Montgomery, the hoses in Birmingham, a bridge in Selma, and a preacher from Atlanta who told a people that we shall overcome. Yes we can. A man touched down on the moon, a wall came down in Berlin, a world was connected by our own science and imagination.	Sobre o quê?	E esta noite, eu penso em tudo o que ela viu ao longo do seu século na América — o sofrimento e a esperança; a luta e o progresso; as vezes em que nos disseram que não podemos e as pessoas que persistiram nesse credo americano: podemos, sim. Numa altura em que as vozes das mulheres eram silenciadas e as suas esperanças descartadas, ela viveu para as ver erguerem-se e manifestarem-se e estenderem a mão para as urnas. Podemos, sim. Quando havia desespero na tigela de poeira e depressão por toda a terra, ela viu uma nação conquistar o próprio medo com um Novo Acordo, novos empregos, um novo sentido de propósito comum. Podemos, sim. Quando as bombas caíram sobre o nosso porto e a tirania ameaçou o mundo, ela estava lá para testemunhar a ascensão de uma geração à grandeza e uma democracia foi salva. Podemos, sim. Ela estava lá para os autocarros em Montgomery, as mangueiras em Birmingham, uma ponte em Selma e um pregador de Atlanta que disse a um povo que nós haveríamos de superar. Podemos, sim. Um homem aterrou na lua, um muro caiu em Berlim, um mundo estava ligado pela nossa própria ciência e imaginação.
About	about	About what?	And tonight, I think about all that she's seen throughout her century in America — the heartache and the hope; the struggle and the progress; the times we were told that we can't, and the people who pressed on with that American creed: Yes we can. At a time when women's voices were silenced and their hopes dismissed, she lived to see them stand up and speak out and reach out for the ballot. Yes we can. When there was despair in the dust bowl and depression across the land, she saw a nation conquer fear itself with a New Deal, new jobs, a new sense of common purpose. Yes we can. When the bombs fell on our harbor and tyranny threatened the world, she was there to witness a generation rise to greatness and a democracy was saved. Yes we can. She was there for the buses in Montgomery, the hoses in Birmingham, a bridge in Selma, and a preacher from Atlanta who told a people that we shall overcome. Yes we can. A man touched down on the moon, a wall came down in Berlin, a world was connected by our own science and imagination.	Sobre o quê?	E esta noite, eu penso em tudo o que ela viu ao longo do seu século na América — o sofrimento e a esperança; a luta e o progresso; as vezes em que nos disseram que não podemos e as pessoas que persistiram nesse credo americano: podemos, sim. Numa altura em que as vozes das mulheres eram silenciadas e as suas esperanças descartadas, ela viveu para as ver erguerem-se e manifestarem-se e estenderem a mão para as urnas. Podemos, sim. Quando havia desespero na tigela de poeira e depressão por toda a terra, ela viu uma nação conquistar o próprio medo com um Novo Acordo, novos empregos, um novo sentido de propósito comum. Podemos, sim. Quando as bombas caíram sobre o nosso porto e a tirania ameaçou o mundo, ela estava lá para testemunhar a ascensão de uma geração à grandeza e uma democracia foi salva. Podemos, sim. Ela estava lá para os autocarros em Montgomery, as mangueiras em Birmingham, uma ponte em Selma e um pregador de Atlanta que disse a um povo que nós haveríamos de superar. Podemos, sim. Um homem aterrou na lua, um muro caiu em Berlim, um mundo estava ligado pela nossa própria ciência e imaginação.
Above	above	See above.	When Rhodopis was bathing, an eagle snatched one of her sandals from her maid and carried it to Memphis; and while the king was administering justice in the open air, the eagle, when it arrived above his head, flung the sandal into his lap; and the king, stirred both by the beautiful shape of the sandal and by the strangeness of the occurrence, sent men in all directions into the country in quest of the woman who wore the sandal; and when she was found in the city of Naucratis, she was brought up to Memphis, became the wife of the king, and when she died was honoured with a great tomb.	Vejam acima.	Quando a Rodópis estava a tomar banho, uma águia roubou uma das suas sandálias à sua criada e levou-a para Mênfis; e enquanto o rei estava a administrar justiça ao ar livre, a águia, quando se aproximou acima da sua cabeça, lançou a sandália para o seu colo; e o rei, incitado tanto pela bela forma da sandália como pela estranheza da ocorrência, enviou homens em todas as direções pelo país em busca da mulher que usava a sandália; e quando ela foi encontrada na cidade de Náucratis, ela foi trazida para Mênfis, tornou-se na esposa do rei, e quando morreu foi honrada com um grande túmulo.
Abrupt	abrupt	That was abrupt.	Tom has an abrupt manner but a kind heart.	Isso foi abrupto.	Tom tem modos abruptos, mas um coração gentil.
Abscess	abscess				
Absence	absence	Nobody noticed my absence?	"Everybody is fighting each other under the illusion that it is the ""other people"" that are causing the problem. We don't realize that we are all in the same boat. We are all suffering from the absence of a system that can pull us together and assure us that the results of each person's work will come back to him and enhance his life in some way."	Ninguém notou a minha ausência?	"Estão todos a lutar uns contra os outros sob a ilusão de que são as ""outras pessoas"" que estão a causar o problema. Não nos apercebemos de que estamos todos no mesmo barco. Estamos todos a sofrer com a ausência de um sistema que nos possa juntar e assegurar-nos de que os resultados do trabalho de cada pessoa reverterão a seu favor e melhorarão de alguma forma a sua vida."
Absent-minded	absent	Tom is absent.	Climate change will, absent other changes, amplify some of the existing health threats the Nation now faces. Certain people and communities are especially vulnerable, including children, the elderly, the sick, the poor, and some communities of color.	Tom está ausente.	As alterações climáticas irão, na ausência de outras alterações, amplificar algumas das ameaças sanitárias já existentes que a Nação enfrenta atualmente. Certas pessoas e comunidades estão especialmente vulneráveis, incluindo as crianças, os idosos, os doentes, os pobres e algumas comunidades de cor.
Absolute	absolute	He has absolute power.	In the game of chess, the relative value of pieces is usually as follows: the queen is worth 9, the rook 5, the bishop 3, the knight also 3, and the pawn 1. The king has absolute value.	Ele tem o poder absoluto.	No jogo de xadrez, o valor relativo das peças é, normalmente, o seguinte: a dama vale 9, a torre 5, o bispo 3, o cavalo também 3, e o peão 1. O rei tem valor absoluto.
