sourceWord	targetWord	minSource	maxSource	minTarget	maxTarget
english word	英語の言葉 	
because of	のため 	tom died because of me.	she was born just a generation past slavery; a time when there were no cars on the road or planes in the sky; when someone like her couldn't vote for two reasons — because she was a woman and because of the color of her skin.	嵐で停電した。	彼女は奴隷制終了のちょうど一世代後に生まれました。時は道に車もなく、そらに飛行機もなく時代です。その時彼女のような人は二つの理由で投票できませんでした。つまり、彼女が女性であったことと彼女の肌の色からです。
be out of	から出る 	the lock must be out of order.	because the japanese morning train is very crowded, i would be out of breath if i caught the express train at 8 in the morning.	数日町を離れます。	日本の朝の電車はとても混んでいるので、朝の８時に急行電車に乗ろうものなら、息が出来ませんよ。
on an empty stomach	空腹時に 	drinking on an empty stomach is bad for your health.	drinking on an empty stomach is bad for your health.	空きっ腹にお酒を飲むのは体に良くない。	空きっ腹にお酒を飲むのは体に良くない。
?	？ 	i wonder if i should tell him … ?	"is it ok if i ask a stupid question? can you read this ? korona... uzu? nabe? or something else?" "koronaka" "ah, ka" "i think you should be watching more tv."	彼に話すのかな。	「おバカチックな質問していい？これなんて読むの？コロナ・・・？うず？なべ？違うよね」「コロナか」「あっ、『か』なんだ」「もっとテレビも見た方がいいと思うよ」
(ici) inside out/ (haut en bas) upside down/ (devant derrière) back to front	（ici）内外/（haut en bas）逆さま/（devantderrière） 	
off the cuff	カフから離れて 	
on the contrary	それどころか 	i thought he was busy, but on the contrary he was idle.	i thought he was busy, but on the contrary he was idle.	彼は忙しいと思ったが、それどころか暇だった。	彼は忙しいと思ったが、それどころか暇だった。
as + n + p. progr	+ np。 プログラム 	
unless	否定的に 	let's go out unless it rains.	"don't you think that people from english-speaking countries earn an unreasonable amount from the english language industry? since i'm japanese, i'd like to use materials exclusively made by japanese people." "but you know, you can't really tell if the english is good or not unless it's been checked by a native speaker." "what do you mean by good english!? english used by native speakers? are natives really that great, anyway?"	急がないと学校遅れるよ。	「英語圏の人は英語産業で不当に儲けてると思わない？ 僕は日本人なんだから、日本人だけで作った教材を使いたい」「でもさ、ネイティブチェックされてないと本当にいい英語かどうか分かんないじゃん」「いい英語って何だよ。ネイティブの使う英語がいい英語？ ネイティブってそんなに偉いのかよ？」
